Stock/Time Prices,0.001,1.11E-01,2.22E-01,3.33E-01,4.44E-01,5.56E-01,6.67E-01,7.78E-01,8.89E-01,1.00E+00
1.00E-10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2.50E-02,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475
5.00E-02,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
7.50E-02,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425
1.00E-01,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
1.25E-01,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
1.50E-01,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1.75E-01,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325
2.00E-01,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2.25E-01,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275
2.50E-01,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2.75E-01,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225
3.00E-01,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
3.25E-01,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175
3.50E-01,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
3.75E-01,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4.00E-01,0.1,0.1,0.1,0.1,0.1,0.100168,0.100486,0.10089,0.101339,0.10181
4.25E-01,0.075,0.075,0.0751479,0.0758975,0.0768818,0.077936,0.0789909,0.0800195,0.0810092,0.0819559
4.50E-01,0.05,0.0506555,0.0528876,0.0551508,0.0572278,0.0591129,0.0608297,0.0624023,0.0638518,0.0651956
4.75E-01,0.025,0.030138,0.0347088,0.0382458,0.041167,0.0436728,0.0458753,0.0478445,0.0496272,0.0512571
5.00E-01,0.000985203,0.0153696,0.0211174,0.0252759,0.0286188,0.0314443,0.0339049,0.0360908,0.0380607,0.0398553
5.25E-01,7.74E-08,0.00665707,0.0119207,0.0159498,0.0192647,0.022103,0.0245956,0.026823,0.0288393,0.0306825
5.50E-01,5.78E-13,0.00241155,0.00621672,0.00959269,0.0125452,0.0151603,0.0175072,0.0196365,0.0215857,0.0233833
5.75E-01,2.56E-18,0.00074513,0.00302034,0.00552848,0.00793441,0.0101778,0.0122583,0.0141897,0.0159881,0.0176683
6.00E-01,6.94E-24,0.000199963,0.00137566,0.00306435,0.00488623,0.00670058,0.00845571,0.0101337,0.0117305,0.0132475
6.25E-01,6.41E-30,4.47E-05,0.000579593,0.00162264,0.0029179,0.00431387,0.00573428,0.00714088,0.00851451,0.00984587
6.50E-01,1.67E-34,9.71E-06,0.000237334,0.000842448,0.00171802,0.00274821,0.00385753,0.00500043,0.00614968,0.00728895
6.75E-01,3.53E-39,1.88E-06,9.19E-05,0.000422722,0.000988337,0.00172145,0.00256189,0.00346654,0.00440612,0.00536103
7.00E-01,6.75E-44,3.34E-07,3.40E-05,0.00020623,0.000557723,0.00106327,0.00168342,0.00238333,0.00313618,0.00392221
7.25E-01,1.14E-48,5.45E-08,1.20E-05,9.79E-05,0.000308948,0.000647983,0.00109501,0.00162574,0.00221839,0.00285523
7.50E-01,1.53E-53,7.88E-09,4.01E-06,4.49E-05,0.000167142,0.000388275,0.000703299,0.00109814,0.00155704,0.00206555
7.75E-01,1.67E-56,1.44E-09,1.42E-06,2.11E-05,9.18E-05,0.000234858,0.000454737,0.000745566,0.00109741,0.00149959
8.00E-01,2.27E-61,1.93E-10,4.51E-07,9.36E-06,4.85E-05,0.000138372,0.000288378,0.000498714,0.00076442,0.0010784
8.25E-01,2.62E-64,3.36E-11,1.54E-07,4.28E-06,2.61E-05,8.24E-05,0.000184257,0.000335502,0.000534921,0.000778522
8.50E-01,1.41E-67,4.62E-12,4.73E-08,1.85E-06,1.35E-05,4.78E-05,0.000115557,0.000222502,0.000370128,0.000556948
8.75E-01,3.27E-72,6.51E-13,1.48E-08,8.07E-07,7.05E-06,2.79E-05,7.27E-05,0.000147929,0.000256651,0.0003992
9.00E-01,4.13E-75,1.11E-13,4.90E-09,3.60E-07,3.72E-06,1.64E-05,4.59E-05,9.87E-05,0.000178481,0.000286838
9.25E-01,5.03E-78,1.83E-14,1.58E-09,1.58E-07,1.94E-06,9.53E-06,2.89E-05,6.55E-05,0.000123659,0.000205502
9.50E-01,6.10E-81,2.98E-15,5.03E-10,6.85E-08,1.00E-06,5.52E-06,1.81E-05,4.34E-05,8.55E-05,0.000146995
9.75E-01,7.61E-84,4.87E-16,1.60E-10,2.97E-08,5.19E-07,3.19E-06,1.13E-05,2.87E-05,5.91E-05,0.000105087
1.00E+00,9.73E-87,7.99E-17,5.06E-11,1.28E-08,2.67E-07,1.84E-06,7.04E-06,1.90E-05,4.08E-05,7.51E-05
,,,,,,,,,,"	"